Geography,Population Estimate (as of July 1) - 2018
"Lyndonville village, New York",782
"Hermitage city, Arkansas",782
"Meriden city, Kansas",782
"Brantley town, Alabama",782
"Windsor village, Illinois",782
"North Hills town, West Virginia",781
"Ludlow village, Vermont",781
"Baltic village, Ohio",781
"Blue Ridge Manor city, Kentucky",781
"Loma Linda town, Missouri",781
"Polk borough, Pennsylvania",780
"Roscoe borough, Pennsylvania",780
"White Lake town, North Carolina",780
"Mountain City city, Texas",780
"Ashland city, Kansas",779
"Alma city, Kansas",779
"Flordell Hills city, Missouri",779
"Ringtown borough, Pennsylvania",779
"Birnamwood village, Wisconsin",779
"Woodhull village, Illinois",779
"Copenhagen village, New York",779
"Woodsburgh village, New York",779
"Bailey's Prairie village, Texas",779
"East Galesburg village, Illinois",778
"Wrightstown borough, New Jersey",778
"Stantonsburg town, North Carolina",778
"Mountain Pine city, Arkansas",778
"Guy city, Arkansas",778
"Wagram town, North Carolina",777
"Plumerville city, Arkansas",777
"Lowden city, Iowa",777
"Conway city, Missouri",777
"Hartford city, Iowa",777
"Cissna Park village, Illinois",776
"Branchville borough, New Jersey",776
"Wallace city, Idaho",776
"Viborg city, South Dakota",776
"Valley Brook town, Oklahoma",776
"Northwest city, North Carolina",776
"Tickfaw village, Louisiana",776
"Doyline village, Louisiana",775
"Earlville city, Iowa",775
"Holly town, Colorado",775
"Vernon village, Michigan",775
"Hanover village, Illinois",774
"Hanna town, Wyoming",774
"Hemingford village, Nebraska",774
"Chalfant borough, Pennsylvania",774
"Walnut city, Iowa",774
"Philip city, South Dakota",774
"Siren village, Wisconsin",773
"Exeter city, Missouri",773
"Belgrade city, Minnesota",773
"Kindred city, North Dakota",773
"Yachats city, Oregon",773
"Alakanuk city, Alaska",773
"Tiskilwa village, Illinois",772
"Throckmorton town, Texas",772
"Lamberton city, Minnesota",772
"Vermontville village, Michigan",772
"Douglas town, Alabama",772
"Tipton town, Oklahoma",771
"Exira city, Iowa",771
"Piper City village, Illinois",771
"Dunseith city, North Dakota",771
"Eldred borough, Pennsylvania",770
"Sterling town, Oklahoma",770
"West Concord city, Minnesota",770
"Plain village, Wisconsin",770
"Snow Shoe borough, Pennsylvania",770
"Athol city, Idaho",770
"Somerville town, Alabama",769
"Riceboro city, Georgia",768
"Columbiaville village, Michigan",768
"Gibbon city, Minnesota",768
"South Vinemont town, Alabama",768
"Loch Lloyd village, Missouri",768
"Twin Valley city, Minnesota",767
"Clarence city, Missouri",767
"Napoleon city, North Dakota",767
"White Springs town, Florida",767
"White Hall town, Alabama",766
"Pepin village, Wisconsin",766
"Drayton city, North Dakota",766
"Ryan town, Oklahoma",766
"Manilla city, Iowa",766
"Milo city, Iowa",766
"Black Creek town, North Carolina",766
"Coward town, South Carolina",766
"Oregon city, Missouri",765
"Mooringsport town, Louisiana",765
"Kirklin town, Indiana",765
"Central City city, Colorado",765
"Essex village, Illinois",764
"Rockport city, Arkansas",764
"Knightsville town, Indiana",763
"Hessmer village, Louisiana",763
"Fountain City town, Indiana",763
"Susan Moore town, Alabama",763
"Marshallville village, Ohio",763
"Crab Orchard city, Tennessee",763
"Meadow Vale city, Kentucky",763
"Knoxville town, Arkansas",763
"Jeffersonville village, Vermont",763
"Log Cabin city, Texas",763
"Hymera town, Indiana",762
"Hamlet town, Indiana",762
"Hardy city, Arkansas",762
"Dover city, Minnesota",762
"Fairplay town, Colorado",762
"Port Deposit town, Maryland",762
"Lake View town, South Carolina",761
"Riceville city, Iowa",761
"Hobson City town, Alabama",761
"Screven city, Georgia",761
"Tyrone town, Oklahoma",761
"Church Hill town, Maryland",761
"Pine Lake city, Georgia",761
"Scurry town, Texas",761
"Howard city, South Dakota",760
"Wall Lake city, Iowa",760
"Fonda village, New York",760
"Braceville village, Illinois",760
"Toledo city, Washington",760
"Coldwater city, Kansas",759
"Haileyville city, Oklahoma",759
"Kinmundy city, Illinois",759
"New Harmony town, Indiana",759
"Boswell town, Indiana",759
"Pilot Grove city, Missouri",759
"Linden town, Indiana",759
"Newborn town, Georgia",759
"Peru city, Nebraska",758
"Blair town, Oklahoma",758
"Middlebourne town, West Virginia",758
"Alliance town, North Carolina",758
"La Farge village, Wisconsin",758
"Alanson village, Michigan",758
"Homecroft town, Indiana",758
"Landfall city, Minnesota",758
"North High Shoals town, Georgia",758
"Elkton village, Michigan",757
"Montreal city, Wisconsin",757
"Westmoreland city, Kansas",757
"Kiowa town, Colorado",757
"Washingtonville village, Ohio",756
"Orangeville village, Illinois",756
"Everson borough, Pennsylvania",756
"McLean town, Texas",756
"Olympian Village city, Missouri",756
"New Site town, Alabama",756
"Gratz borough, Pennsylvania",756
"Ridge Spring town, South Carolina",756
"Kwethluk city, Alaska",756
"Triadelphia town, West Virginia",755
"Oppelo city, Arkansas",755
"Mabel city, Minnesota",755
"Crawford town, Texas",755
"Cowley town, Wyoming",755
"Sioux Rapids city, Iowa",754
"Walnut town, Mississippi",754
"Diamondville town, Wyoming",754
"Lancaster city, Missouri",754
"Bridger town, Montana",754
"Horseshoe Bend city, Idaho",754
"Clarkton town, North Carolina",753
"Bertrand city, Missouri",753
"Rosedale village, Louisiana",753
"Antonito town, Colorado",753
"Cass Lake city, Minnesota",753
"Perryville city, Kentucky",753
"Red Cross town, North Carolina",753
"Patoka town, Indiana",753
"Cuba village, New Mexico",753
"Ridgeville town, Indiana",752
"Essex city, Iowa",752
"Ashmore village, Illinois",752
"St. Nazianz village, Wisconsin",752
"Sharon Springs city, Kansas",752
"Hilltop city, Minnesota",752
"Axtell village, Nebraska",752
"Alcester city, South Dakota",751
"Osmond city, Nebraska",751
"Driscoll city, Texas",751
"Patterson city, Georgia",751
"Raymond city, Minnesota",750
"Mount Calvary village, Wisconsin",750
"Sheridan town, Montana",750
"Houtzdale borough, Pennsylvania",749
"Port Vincent village, Louisiana",749
"Oklahoma borough, Pennsylvania",748
"Estelline city, South Dakota",748
"Cambria village, Wisconsin",748
"Bainbridge town, Indiana",748
"Hugo town, Colorado",748
"Green Spring city, Kentucky",748
"Dublin town, Indiana",747
"Browerville city, Minnesota",747
"West Bend city, Iowa",747
"North Hornell village, New York",747
"Underwood city, North Dakota",747
"Hatton city, North Dakota",747
"Doerun city, Georgia",747
"Parma village, Michigan",747
"Delaware Water Gap borough, Pennsylvania",747
"Amanda village, Ohio",747
"Iberia city, Missouri",747
"Waverly Hall town, Georgia",747
"Milford town, Texas",747
"Rich Creek town, Virginia",746
"Hedrick city, Iowa",746
"Loami village, Illinois",746
"Brooten city, Minnesota",746
"Chiloquin city, Oregon",746
"Elysian city, Minnesota",746
"Palatine Bridge village, New York",745
"Atlanta town, Indiana",745
"Alden city, Iowa",744
"South Coffeyville town, Oklahoma",744
"Pocahontas village, Illinois",744
"Marion town, Louisiana",744
"Cottageville town, South Carolina",744
"Greenwood city, Minnesota",744
"Smithers city, West Virginia",743
"Mertzon city, Texas",743
"Anmoore town, West Virginia",743
"Valley Springs city, South Dakota",743
"Midvale village, Ohio",743
"Iron Mountain Lake city, Missouri",743
"Moyie Springs city, Idaho",743
"Section town, Alabama",742
"Tribune city, Kansas",742
"Plankinton city, South Dakota",742
"Woodland Hills city, Kentucky",742
"Powderly city, Kentucky",741
"Copan town, Oklahoma",741
"Redmond town, Utah",741
"Chippewa Lake village, Ohio",741
"Point Blank city, Texas",741
"Conway town, North Carolina",740
"Oxford village, Nebraska",740
"Whitelaw village, Wisconsin",740
"Watson village, Illinois",740
"Stewartsville city, Missouri",740
"Manchester village, Vermont",740
"Arlington Heights village, Ohio",740
"Santa Clara city, Texas",740
"Fairmount city, Georgia",740
"High Shoals city, North Carolina",740
"Gould city, Arkansas",739
"Mohall city, North Dakota",739
"North Topsail Beach town, North Carolina",739
"Corinne city, Utah",739
"Silver Springs village, New York",738
"Hancock city, Minnesota",738
"Stockton city, Minnesota",738
"Wyocena village, Wisconsin",737
"Tyronza city, Arkansas",737
"South Range village, Michigan",737
"Deshler city, Nebraska",737
"Howard borough, Pennsylvania",737
"Bingen city, Washington",737
"Wauzeka village, Wisconsin",737
"Concrete town, Washington",737
"Godley village, Illinois",737
"Wilson city, Kansas",736
"Caseville city, Michigan",736
"Conneautville borough, Pennsylvania",736
"Calhoun city, Kentucky",736
"Wright City town, Oklahoma",736
"Lott city, Texas",736
"Merrill city, Iowa",736
"Wickes town, Arkansas",736
"Tuscola city, Texas",736
"Camp Wood city, Texas",736
"Deer Trail town, Colorado",736
"Swifton city, Arkansas",735
"Tampico village, Illinois",735
"Eastborough city, Kansas",735
"Ariton town, Alabama",735
"Columbia town, Alabama",735
"Millville village, Ohio",735
"Bradford city, Arkansas",734
"Valliant town, Oklahoma",734
"Jefferson borough (York County), Pennsylvania",734
"Mountain View town, Oklahoma",733
"Brownstown village, Illinois",733
"Teton city, Idaho",733
"Ostrander village, Ohio",733
"Marble Cliff village, Ohio",733
"Orleans village, Vermont",732
"Altus city, Arkansas",732
"Lanesboro city, Minnesota",732
"Renova town, Mississippi",732
"Nevada village, Ohio",731
"Hauser city, Idaho",731
"Greenview village, Illinois",730
"Elkton city, South Dakota",730
"Branford town, Florida",730
"Leon city, Kansas",730
"Clarkston town, Utah",730
"Avon village, Illinois",729
"Confluence borough, Pennsylvania",729
"Merrill village, Michigan",729
"Winton town, North Carolina",729
"Jefferson town, South Carolina",729
"Ty Ty city, Georgia",729
"Gilbertville city, Iowa",729
"Kansas village, Illinois",728
"Alma city, Wisconsin",728
"West Hamlin town, West Virginia",728
"Gordon borough, Pennsylvania",728
"Whiting city, Iowa",728
"Wadley town, Alabama",728
"Burke city, Texas",728
"Philo village, Ohio",728
"Sandersville town, Mississippi",728
"Mott city, North Dakota",728
"New Market town, Maryland",728
"Gilberton borough, Pennsylvania",727
"Brownton city, Minnesota",727
"Bantam borough, Connecticut",727
"Salem city, Kentucky",727
"Flemington city, Georgia",727
"Bella Villa city, Missouri",727
"Delta borough, Pennsylvania",727
"Wayne town, Oklahoma",727
"Schaller city, Iowa",726
"Cammack Village city, Arkansas",726
"Scio village, Ohio",726
"Elizabeth village, Illinois",726
"Courtdale borough, Pennsylvania",726
"Montgomery town, Louisiana",726
"Cleveland city, Minnesota",726
"Niota city, Tennessee",726
"Ector city, Texas",726
"Oakman town, Alabama",725
"Sandy Creek village, New York",725
"Lockesburg city, Arkansas",725
"Morrison town, Oklahoma",725
"Como town, Texas",725
"Noonday city, Texas",724
"Clay Center city, Nebraska",724
"Addison town, Alabama",724
"Faulkton city, South Dakota",724
"Fairfield town, Montana",724
"Golden City city, Missouri",723
"Deal borough, New Jersey",723
"Whitewater city, Kansas",723
"Galena village, Ohio",723
"Tonica village, Illinois",722
"North town, South Carolina",722
"Pilot Knob city, Missouri",722
"Perrysville village, Ohio",722
"Lawtey city, Florida",722
"White city, Georgia",722
"Sewickley Hills borough, Pennsylvania",722
"Plains city, Georgia",721
"Stewardson village, Illinois",721
"Lake Tapawingo city, Missouri",721
"Heuvelton village, New York",721
"Garnavillo city, Iowa",720
"Fair Haven village, New York",720
"Hillcrest village, Texas",720
"Bethel Springs town, Tennessee",720
"Tekonsha village, Michigan",720
"Allenhurst city, Georgia",720
"Liberal city, Missouri",719
"Hunting Valley village, Ohio",719
"Peletier town, North Carolina",719
"Koppel borough, Pennsylvania",718
"Woodville town, Alabama",718
"Fremont city, Iowa",718
"Etna city, California",718
"Mayesville town, South Carolina",718
"Roff town, Oklahoma",718
"Buckley village, Michigan",718
"Highmore city, South Dakota",717
"Wheatland city, Iowa",717
"Crofton city, Kentucky",717
"Lakeview city, Arkansas",717
"Bulls Gap town, Tennessee",717
"Zavalla city, Texas",717
"Nucla town, Colorado",717
"Clarks Hill town, Indiana",717
"Nicholson borough, Pennsylvania",716
"Quitman city, Arkansas",716
"Ventura city, Iowa",716
"Berlin Heights village, Ohio",716
"Holdingford city, Minnesota",716
"Point Hope city, Alaska",716
"Hot Sulphur Springs town, Colorado",716
"New Florence city, Missouri",715
"Jonesburg city, Missouri",715
"Lyons town, Indiana",715
"Hanson city, Kentucky",715
"Seneca Gardens city, Kentucky",715
"Gaston city, Oregon",715
"Edgemont city, South Dakota",714
"Gainesville city, Missouri",714
"Cleveland village, New York",714
"Udall city, Kansas",714
"Pateros city, Washington",714
"Carbonado town, Washington",714
"Glen Ullin city, North Dakota",713
"Scalp Level borough, Pennsylvania",713
"Karlstad city, Minnesota",713
"Wilton city, North Dakota",713
"Marine on St. Croix city, Minnesota",713
"Woodland town, North Carolina",712
"Stratford city, Iowa",712
"Mineral City village, Ohio",712
"Welaka town, Florida",712
"Big Wells city, Texas",712
"Morrison town, Tennessee",712
"Spencer village, New York",711
"Grandview town, Indiana",711
"La Rue village, Ohio",711
"Ider town, Alabama",711
"Chevy Chase Section Five village, Maryland",711
"Murray city, Iowa",710
"Vandling borough, Pennsylvania",710
"Westbrook city, Minnesota",710
"New Straitsville village, Ohio",710
"Newman Grove city, Nebraska",710
"Steele city, North Dakota",710
"Philadelphia city, Tennessee",710
"Chesapeake village, Ohio",709
"Leighton town, Alabama",709
"Cherokee city, Kansas",709
"Walkerville town, Montana",709
"Ashkum village, Illinois",708
"Adena village, Ohio",708
"Tigerton village, Wisconsin",708
"Lexington town, Alabama",708
"Shelby village, Nebraska",708
"Kadoka city, South Dakota",708
"Bruce village, Wisconsin",707
"Hennepin village, Illinois",707
"Eastview town, Tennessee",707
"Vici town, Oklahoma",707
"Hinckley town, Utah",707
"Superior village, Wisconsin",707
"Kerkhoven city, Minnesota",706
"Whitakers town, North Carolina",706
"Tangier town, Virginia",706
"Rosedale town, Indiana",706
"Deerfield city, Kansas",706
"Bogue town, North Carolina",706
"Green Mountain Falls town, Colorado",706
"Bethlehem town, Georgia",706
"War city, West Virginia",705
"Brooklyn village, Illinois",705
"Porum town, Oklahoma",705
"Cape Vincent village, New York",705
"Loretto city, Kentucky",705
"Corfu village, New York",705
"Elmore City town, Oklahoma",705
"Savoonga city, Alaska",705
"Mounds city, Illinois",704
"Adair city, Iowa",704
"Trimont city, Minnesota",704
"Deemston borough, Pennsylvania",704
"Echo city, Oregon",704
"Bloomington village, Wisconsin",703
"Corydon city, Kentucky",703
"Preston town, Maryland",703
"Hospers city, Iowa",703
"Shipshewana town, Indiana",703
"Potomac village, Illinois",702
"Auburn borough, Pennsylvania",702
"Maplesville town, Alabama",702
"Pelion town, South Carolina",702
"Alburnett city, Iowa",702
"Williamsburg town, Colorado",702
"Eagleville city, Tennessee",702
"Grover town, North Carolina",701
"Quinhagak city, Alaska",701
"Hindman city, Kentucky",700
"Bertrand village, Nebraska",700
"Ridgeway town, Virginia",700
"Pleasant Hill village, Louisiana",700
"Normangee town, Texas",700
"Gambell city, Alaska",700
"Sherman town, Mississippi",700
"Gettysburg village, Ohio",700
"Loyalton city, California",699
"Canton city, Kansas",699
"Blythe city, Georgia",699
"Seymour city, Iowa",699
"Hampton city, Minnesota",699
"Pisgah town, Alabama",698
"Greenbush city, Minnesota",698
"York Haven borough, Pennsylvania",698
"Collbran town, Colorado",698
"North Freedom village, Wisconsin",698
"Cloudcroft village, New Mexico",698
"Hawk Point city, Missouri",698
"Courtland city, Minnesota",698
"Quincy village, Ohio",697
"Science Hill city, Kentucky",697
"Unalakleet city, Alaska",697
"Melbourne Village town, Florida",697
"Clear Lake city, Minnesota",697
"Madison city, Arkansas",696
"Lorain borough, Pennsylvania",696
"Bevier city, Missouri",696
"Town of Pines town, Indiana",696
"Harleyville town, South Carolina",696
"Bancroft city, Iowa",695
"Misenheimer village, North Carolina",695
"Frankfort city, Kansas",695
"Calumet village, Michigan",695
"Wild Rose village, Wisconsin",695
"Eureka city, Utah",695
"Lakeside city, Iowa",695
"Bradford village, Illinois",694
"Mill Creek town, West Virginia",694
"Cascade village, Wisconsin",694
"Perry city, Missouri",694
"Condon city, Oregon",694
"Silverton town, Colorado",694
"Round Lake village, New York",694
"Oriskany Falls village, New York",693
"Coleman village, Wisconsin",693
"Wheaton city, Missouri",693
"Chesapeake City town, Maryland",693
"Fort Jones city, California",692
"Aroma Park village, Illinois",692
"Point Comfort city, Texas",692
"Montfort village, Wisconsin",692
"Saluda city, North Carolina",692
"Wellsburg city, Iowa",692
"Brownsdale city, Minnesota",692
"Plum Grove city, Texas",692
"Keiser city, Arkansas",691
"Cedarville village, Illinois",691
"Saxton borough, Pennsylvania",691
"Detroit town, Texas",691
"West Lebanon town, Indiana",691
"Beech Creek borough, Pennsylvania",691
"Olin city, Iowa",691
"Upton city, Kentucky",691
"Shannon village, Illinois",690
"Aurora village, New York",690
"Battle Creek city, Iowa",690
"Onaga city, Kansas",690
"Springer town, Oklahoma",690
"Vernon city, Florida",690
"Oakville city, Washington",690
"Charleston city, Tennessee",690
"Mellen city, Wisconsin",689
"Clarks Grove city, Minnesota",689
"Walnut Grove town, Alabama",689
"New Milford village, Illinois",689
"Crossville village, Illinois",688
"East Butler borough, Pennsylvania",688
"Wayne Lakes village, Ohio",688
"Kress city, Texas",688
"Scranton city, Kansas",688
"Pennville town, Indiana",688
"Spring Valley city, Kentucky",688
"Okay town, Oklahoma",688
"Buffalo Lake city, Minnesota",687
"Scooba town, Mississippi",687
"Boyden city, Iowa",687
"Mullan city, Idaho",687
"Warsaw village, Ohio",687
"Wartrace town, Tennessee",687
"Bardwell city, Texas",687
"La Moille village, Illinois",686
"Cedar Key city, Florida",686
"Newland town, North Carolina",686
"Mound City city, Kansas",686
"Hoffman city, Minnesota",686
"Pecan Hill city, Texas",686
"Dongola village, Illinois",685
"Wood Heights city, Missouri",685
"Wilton town, Alabama",685
"Cascade town, Montana",685
"Minneola city, Kansas",684
"Brownstown borough, Pennsylvania",684
"Ruthven city, Iowa",684
"Farmersville village, Illinois",684
"Medora town, Indiana",684
"Queenstown town, Maryland",684
"Stockton town, Utah",684
"Fleming-Neon city, Kentucky",683
"Sherman village, New York",683
"Weiner city, Arkansas",683
"Elwood village, Nebraska",683
"Ohio City village, Ohio",683
"Haviland city, Kansas",683
"Miller city, Missouri",683
"Maple Rapids village, Michigan",683
"Noorvik city, Alaska",683
"Addison (Webster Springs) town, West Virginia",682
"Salisbury borough, Pennsylvania",682
"Boswell town, Oklahoma",682
"Bloomdale village, Ohio",682
"Oxford city, Arkansas",682
"Bokchito town, Oklahoma",682
"Kirkwood village, Illinois",681
"Gillett city, Arkansas",681
"Ellendale city, Minnesota",681
"Powers city, Oregon",681
"Amity city, Arkansas",680
"Reeseville village, Wisconsin",680
"Nuangola borough, Pennsylvania",680
"Sunset Valley city, Texas",679
"McClure village, Ohio",679
"Hendricks city, Minnesota",679
"Westover Hills town, Texas",679
"Portal town, Georgia",679
"Amherst city, Texas",678
"Hollow Rock town, Tennessee",678
"Sebeka city, Minnesota",678
"Forest View village, Illinois",678
"Woodlawn village, Illinois",678
"Pikeville town, North Carolina",678
"Millerstown borough, Pennsylvania",678
"New Bloomfield city, Missouri",678
"Parks village, Louisiana",678
"Sedalia town, North Carolina",678
"Ashley city, North Dakota",677
"Mathiston town, Mississippi",677
"Colton city, South Dakota",677
"Rocky Hill borough, New Jersey",677
"Kingstown town, North Carolina",677
"Briar Creek borough, Pennsylvania",677
"Higginson town, Arkansas",677
"Bardwell city, Kentucky",676
"Hebron city, North Dakota",675
"Kiowa town, Oklahoma",675
"Silverton city, Texas",675
"Clayton village, Illinois",675
"Turbotville borough, Pennsylvania",675
"Ochlocknee town, Georgia",675
"Brownsboro Farm city, Kentucky",675
"Trenton city, Texas",675
"Connoquenessing borough, Pennsylvania",675
"Liberty town, Mississippi",674
"Friendship village, Wisconsin",674
"Beverly town, West Virginia",674
"Marble city, Minnesota",674
"Morley city, Missouri",674
"Saybrook village, Illinois",674
"Ririe city, Idaho",674
"Woonsocket city, South Dakota",674
"Thaxton town, Mississippi",674
"Falls City city, Texas",674
"Great Bend borough, Pennsylvania",673
"Chillicothe city, Texas",673
"Fort Gay town, West Virginia",673
"Racine village, Ohio",673
"Cecilton town, Maryland",673
"McLaughlin city, South Dakota",673
"Upper Marlboro town, Maryland",673
"Sligo borough, Pennsylvania",672
"West Mansfield village, Ohio",672
"Rushville village, New York",672
"Six Mile town, South Carolina",672
"Friendship city, Tennessee",672
"Windfall City town, Indiana",671
"Auburndale village, Wisconsin",671
"Albert City city, Iowa",671
"Colfax town, Indiana",671
"St. Leon town, Indiana",671
"Sullivan village, Wisconsin",671
"Alapaha town, Georgia",671
"Matherville village, Illinois",670
"Wampum borough, Pennsylvania",670
"Armour city, South Dakota",670
"Potosi village, Wisconsin",670
"Agency village, Missouri",670
"Leawood village, Missouri",670
"New Underwood city, South Dakota",670
"Coggon city, Iowa",670
"McBain city, Michigan",670
"Crofton city, Nebraska",669
"Heidelberg town, Mississippi",669
"Adrian city, Georgia",669
"Paragon town, Indiana",669
"Reidville town, South Carolina",669
"Oak Ridge town (Kaufman County), Texas",669
"Dalzell village, Illinois",668
"Canyon City town, Oregon",668
"Oneida city, Illinois",668
"Viola village, Wisconsin",668
"Millington village, Illinois",668
"Adams city, Tennessee",668
"Clio town, South Carolina",667
"Hillman village, Michigan",667
"Puryear city, Tennessee",667
"Kuttawa city, Kentucky",667
"Freeport city, Minnesota",667
"Pe Ell town, Washington",667
"Toksook Bay city, Alaska",667
"Shueyville city, Iowa",667
"Kenefick town, Texas",667
"Green Valley village, Illinois",666
"Deer Creek village, Illinois",666
"Kimball city, South Dakota",666
"Palmyra village, Illinois",666
"Kasota city, Minnesota",666
"McAdenville town, North Carolina",666
"Loretto city, Minnesota",666
"Strathmoor Village city, Kentucky",666
"Russia village, Ohio",666
"South New Castle borough, Pennsylvania",665
"Wabasso city, Minnesota",665
"Deer Lake borough, Pennsylvania",665
"Maury City town, Tennessee",665
"Eleva village, Wisconsin",665
"Hershey village, Nebraska",665
"Lone Oak city, Texas",665
"Viburnum city, Missouri",664
"Wickliffe city, Kentucky",664
"Petrolia city, Texas",664
"Happy town, Texas",664
"Cisne village, Illinois",664
"Palmer town, Tennessee",664
"Parkway Village city, Kentucky",664
"Rolling Fields city, Kentucky",664
"Mechanicsburg village, Illinois",664
"Round Hill town, Virginia",664
"Thompsontown borough, Pennsylvania",663
"McRae city, Arkansas",663
"Cleveland city, Missouri",663
"Beasley city, Texas",663
"Kooskia city, Idaho",663
"Pippa Passes city, Kentucky",663
"Thayer village, Illinois",662
"Blairstown city, Iowa",662
"Greenwood town, Florida",662
"Stanwood city, Iowa",662
"Westwood city, Kentucky",662
"Milan city, Georgia",661
"Bluford village, Illinois",661
"La Prairie city, Minnesota",661
"Elnora town, Indiana",661
"Greensburg town, Louisiana",660
"St. Edward city, Nebraska",660
"Carlisle town, Indiana",660
"Strawn city, Texas",660
"North Middletown city, Kentucky",660
"Sycamore Hills village, Missouri",659
"Greendale city, Missouri",659
"Alda village, Nebraska",659
"Washington town, Oklahoma",659
"Niantic village, Illinois",658
"Taylor Springs village, Illinois",658
"Hills city, Minnesota",658
"Antwerp village, New York",658
"Flovilla city, Georgia",658
"White Hall town, West Virginia",658
"Clayton town, Louisiana",657
"Evansville village, Illinois",657
"Yates City village, Illinois",657
"Port Leyden village, New York",657
"Silver Cliff town, Colorado",657
"Bluffs village, Illinois",656
"Sycamore city, Georgia",656
"Jewett village, Ohio",656
"Van Horne city, Iowa",656
"Beemer village, Nebraska",656
"Oldenburg town, Indiana",656
"Pennsbury Village borough, Pennsylvania",656
"Elmwood village, Nebraska",656
"Center City city, Minnesota",656
"Manzanita city, Oregon",656
"Joliet town, Montana",656
"Lynch city, Kentucky",655
"Alhambra village, Illinois",655
"Fremont village, Wisconsin",655
"Carney town, Oklahoma",655
"Lecompton city, Kansas",655
"Vader city, Washington",655
"Barton village, Vermont",654
"Crowder town, Mississippi",654
"Clarissa city, Minnesota",654
"Kingston city, Georgia",654
"Norborne city, Missouri",653
"Savanna town, Oklahoma",653
"Pretty Prairie city, Kansas",653
"Motley city, Minnesota",653
"Briny Breezes town, Florida",653
"Rockland village, Wisconsin",653
"Man town, West Virginia",652
"Clyde city, Kansas",652
"Heron Lake city, Minnesota",652
"New Florence borough, Pennsylvania",652
"New Boston city, Illinois",652
"Noble village, Illinois",652
"Timberlake village, Ohio",652
"Sheridan village, Michigan",652
"Crawford town, Mississippi",652
"Elberfeld town, Indiana",652
"Oak Grove town, Texas",652
"Remington town, Virginia",652
"Franklin town, West Virginia",651
"Hanover city, Kansas",651
"Birch Tree city, Missouri",651
"Monroe city, Oregon",651
"Grantsboro town, North Carolina",650
"Tidioute borough, Pennsylvania",650
"Minnesota Lake city, Minnesota",650
"Weston city, Oregon",650
"Stratton town, Colorado",650
"Bendersville borough, Pennsylvania",650
"Robbinsville town, North Carolina",650
"Cardwell city, Missouri",649
"Jennerstown borough, Pennsylvania",649
"Welcome city, Minnesota",649
"Cordova village, Illinois",649
"Shoshoni town, Wyoming",649
"Earlsboro town, Oklahoma",649
"Reile's Acres city, North Dakota",649
"Elloree town, South Carolina",648
"South Wilmington village, Illinois",648
"Barlow city, Kentucky",648
"Tioga borough, Pennsylvania",648
"Norwood city, Missouri",648
"Stephen city, Minnesota",648
"Sharptown town, Maryland",648
"Selby city, South Dakota",648
"Hastings town, Florida",648
"Anguilla town, Mississippi",647
"Gallaway city, Tennessee",647
"Picture Rocks borough, Pennsylvania",647
"Almena village, Wisconsin",647
"Creston village, Illinois",647
"Brighton city, Iowa",647
"Highfill town, Arkansas",647
"Oak City town, Utah",647
"Holden Beach town, North Carolina",647
"Glenwood city, Georgia",646
"Coffeen city, Illinois",646
"Clarkson city, Nebraska",646
"Rock Island town, Oklahoma",646
"Argyle city, Minnesota",646
"Agency city, Iowa",646
"Bull Creek village, Missouri",646
"Excel town, Alabama",645
"Middleton city, Tennessee",645
"Malta village, Ohio",645
"Francis Creek village, Wisconsin",645
"Vermont village, Illinois",645
"Mendon village, Ohio",645
"Asharoken village, New York",645
"Findlay village, Illinois",644
"Kirtland Hills village, Ohio",644
"San Luis town, Colorado",644
"Virgin town, Utah",644
"Bolton town, North Carolina",643
"Elba village, New York",643
"Alden city, Minnesota",643
"Davis town, West Virginia",643
"Frost city, Texas",643
"Milner city, Georgia",643
"Perdido Beach town, Alabama",643
"Cove city, Oregon",643
"West City village, Illinois",642
"Lynn town, Alabama",642
"Shawnee village, Ohio",642
"Roxton city, Texas",642
"Harrah town, Washington",642
"Valleyview village, Ohio",642
"Dufur city, Oregon",642
"St. Lucie Village town, Florida",642
"Ottertail city, Minnesota",642
"Stanton city, Iowa",641
"Alpha village, Illinois",641
"Valier village, Illinois",641
"Livingston village, Wisconsin",641
"Onida city, South Dakota",641
"Micanopy town, Florida",641
"Lake Benton city, Minnesota",640
"Binger town, Oklahoma",640
"Golconda city, Illinois",640
"Moravia city, Iowa",640
"Rollingstone city, Minnesota",640
"Greenevers town, North Carolina",640
"Millville town, Delaware",640
"Sharpsburg town, Maryland",639
"Weir city, Kansas",639
"Waterville city, Kansas",639
"Gibson city, Georgia",639
"Simla town, Colorado",639
"New Hope town, Texas",639
"Gilbert town, South Carolina",639
"Hoyt city, Kansas",638
"Elgin city, North Dakota",638
"Castlewood city, South Dakota",638
"Huntsville town, Utah",638
"East Vandergrift borough, Pennsylvania",637
"Mermentau village, Louisiana",637
"Rocky Ripple town, Indiana",637
"Carey city, Idaho",637
"Kotlik city, Alaska",637
"St. Florian town, Alabama",637
"Inez city, Kentucky",636
"Grafton city, Illinois",636
"Cohutta city, Georgia",636
"Wingo city, Kentucky",636
"Lovelady city, Texas",635
"Hamilton town, Virginia",635
"Elgin city, Iowa",634
"La Belle city, Missouri",634
"Norwalk village, Wisconsin",634
"Nelsonville village, New York",634
"Downey city, Idaho",634
"Hayden town, Arizona",633
"Ridgeway village, Wisconsin",633
"Melrose village, New Mexico",633
"Hartford city, Arkansas",633
